Customer ID,Age,Gender,Employment (Years),Accidents (Last 5 Years),Vehicle Age (Years),Vehicle Type,ICE or EV,Annual Mileage,Location,New factor,New factor.1,New factor.2,New factor.3,claim-cost,claim-date,policy-age
30,69,Female,48,0,10,SUV,EV,17135,Suburban,,,,,235362,2023-11-22,12
31,20,Male,1,1,7,Sports Car,EV,12623,Rural,,,,,944448,2023-12-22,4
32,52,Female,33,0,10,Sports Car,ICE,14427,Suburban,,,,,57532,2019-01-23,6
33,57,Male,34,1,0,Sedan,EV,5616,Suburban,,,,,799800,2018-12-20,8
34,35,Female,18,0,14,SUV,ICE,8906,Suburban,,,,,658371,2015-12-08,9
35,38,Female,21,0,15,Sports Car,ICE,17943,Rural,,,,,971468,2020-08-07,8
36,21,Female,2,0,9,SUV,ICE,21468,Rural,,,,,602776,2017-09-30,2
37,38,Male,20,1,14,Sedan,ICE,17078,Urban,,,,,893895,2015-08-18,4
38,55,Male,31,0,14,SUV,ICE,7988,Urban,,,,,582598,2021-03-22,6
39,53,Male,30,0,0,Sedan,ICE,9656,Suburban,,,,,909849,2022-07-01,5
40,23,Female,1,0,6,SUV,ICE,20628,Urban,,,,,758758,2022-10-27,10
41,44,Male,22,0,9,Sedan,ICE,9524,Rural,,,,,471600,2018-06-30,12
42,41,Male,23,1,11,SUV,EV,15337,Suburban,,,,,904261,2020-02-05,3
43,35,Male,14,0,10,SUV,EV,14146,Suburban,,,,,560684,2020-03-29,10
44,52,Male,27,0,7,Sedan,EV,11978,Suburban,,,,,255769,2020-06-29,2
45,22,Male,1,1,14,SUV,ICE,22991,Rural,,,,,512839,2022-04-10,1
46,32,Male,12,0,14,Sports Car,ICE,18007,Urban,,,,,869213,2018-11-25,8
47,63,Female,46,0,2,SUV,ICE,8919,Suburban,,,,,567505,2022-02-03,9
48,37,Female,21,0,4,SUV,ICE,20041,Rural,,,,,105132,2019-04-08,2
49,63,Male,46,1,0,SUV,ICE,15636,Suburban,,,,,897878,2015-06-15,8
50,62,Male,37,2,14,SUV,ICE,8315,Urban,,,,,14236,2020-05-15,1
51,64,Female,44,2,8,Sedan,ICE,20470,Rural,,,,,843107,2023-11-12,2
52,29,Female,6,0,14,Sports Car,ICE,16340,Suburban,,,,,555335,2022-08-25,10
53,51,Female,29,0,0,Sedan,EV,19413,Suburban,,,,,330668,2022-04-24,7
54,39,Male,18,0,5,Sedan,EV,7344,Suburban,,,,,671215,2018-06-14,6
55,43,Female,24,0,3,SUV,EV,7636,Rural,,,,,176261,2017-05-02,1
56,69,Male,52,2,6,Sports Car,EV,20999,Rural,,,,,931325,2023-09-29,8
57,43,Male,19,0,10,Sports Car,EV,6547,Urban,,,,,837261,2021-06-07,9
58,23,Female,1,0,9,Sports Car,ICE,23794,Suburban,,,,,64199,2015-09-15,9
59,31,Female,12,0,0,Sports Car,EV,9851,Urban,,,,,37041,2018-08-30,7
60,26,Male,3,0,0,Sedan,ICE,22298,Suburban,,,,,731284,2016-10-09,1
61,21,Female,1,0,15,SUV,EV,19764,Suburban,,,,,44224,2018-05-05,9
62,21,Female,1,0,12,Sedan,EV,13194,Rural,,,,,862031,2018-05-18,12
63,47,Male,28,0,8,SUV,ICE,20356,Suburban,,,,,178639,2019-12-17,9
64,37,Female,21,0,11,Sports Car,EV,13615,Rural,,,,,161551,2020-08-03,4
65,69,Male,47,1,0,Sedan,ICE,15647,Urban,,,,,823978,2015-01-30,2
66,35,Male,14,1,13,SUV,EV,10414,Urban,,,,,266867,2016-06-17,3
67,63,Male,47,2,5,SUV,EV,18855,Rural,,,,,531512,2020-04-04,5
68,48,Female,28,1,2,Sedan,EV,24019,Rural,,,,,728986,2017-04-13,9
69,62,Male,44,0,14,SUV,EV,14007,Rural,,,,,78655,2019-09-28,5
70,60,Male,35,0,1,Sports Car,ICE,15947,Suburban,,,,,737185,2022-01-15,4
71,64,Female,45,1,15,SUV,ICE,13225,Rural,,,,,195575,2018-02-24,9
72,20,Female,1,0,7,Sedan,ICE,6638,Urban,,,,,835635,2019-11-15,2
73,53,Male,37,3,10,SUV,EV,17255,Rural,,,,,305097,2016-09-19,5
74,24,Female,8,2,10,Sedan,EV,20519,Suburban,,,,,634531,2022-07-17,8
75,25,Female,2,0,4,SUV,ICE,10254,Rural,,,,,314824,2017-12-25,7
76,37,Male,19,0,15,Sedan,EV,21458,Suburban,,,,,687077,2018-08-23,10
77,23,Male,5,1,0,Sports Car,EV,11575,Rural,,,,,297852,2018-01-04,10
78,55,Male,36,0,0,Sedan,EV,17574,Suburban,,,,,47018,2019-12-02,12
79,66,Male,47,0,2,Sedan,EV,20108,Suburban,,,,,539250,2020-09-29,12
80,58,Female,33,0,12,Sedan,EV,15737,Suburban,,,,,610159,2020-09-18,2
81,33,Male,17,1,11,Sports Car,ICE,11541,Urban,,,,,741175,2017-10-24,8
82,50,Female,26,3,7,Sports Car,EV,20232,Rural,,,,,91650,2020-08-29,4
83,18,Male,1,0,8,SUV,ICE,15645,Suburban,,,,,502762,2021-11-01,3
84,52,Male,28,2,15,Sports Car,ICE,22987,Rural,,,,,510185,2016-04-18,8
85,64,Female,48,1,10,Sports Car,EV,5279,Urban,,,,,855426,2021-06-17,8
86,52,Female,35,0,6,Sedan,ICE,24847,Suburban,,,,,762705,2017-06-25,12
87,64,Female,47,0,12,Sedan,ICE,12524,Urban,,,,,31983,2022-10-31,8
88,69,Female,44,2,0,Sports Car,ICE,20273,Urban,,,,,281595,2021-10-16,5
89,49,Female,28,0,6,Sedan,EV,15150,Suburban,,,,,84978,2015-07-12,6
90,23,Male,1,0,9,SUV,ICE,17299,Suburban,,,,,875109,2019-02-03,5
91,40,Male,19,0,14,Sports Car,ICE,14250,Suburban,,,,,859757,2023-07-31,12
92,19,Female,1,0,14,Sedan,EV,17020,Suburban,,,,,991115,2016-05-02,3
93,58,Female,33,0,10,SUV,ICE,19502,Rural,,,,,766834,2019-09-09,4
94,32,Male,7,0,11,SUV,ICE,21179,Rural,,,,,981676,2016-03-13,1
95,28,Male,12,0,15,Sports Car,ICE,7001,Rural,,,,,263543,2017-01-23,2
96,24,Male,7,0,7,SUV,ICE,11067,Suburban,,,,,436813,2015-10-18,2
97,61,Female,42,0,1,Sedan,EV,16960,Rural,,,,,503033,2021-11-17,5
98,24,Male,6,0,3,SUV,EV,24040,Rural,,,,,443647,2020-11-26,9
99,29,Female,13,1,0,Sports Car,ICE,20927,Urban,,,,,287530,2020-07-01,12
100,28,Male,5,2,11,Sedan,EV,15185,Rural,,,,,593516,2022-07-11,11
101,59,Male,43,0,5,Sedan,EV,16350,Suburban,,,,,379685,2016-09-24,5
102,53,Male,37,0,13,Sedan,ICE,20122,Urban,,,,,933661,2016-09-07,9
103,37,Female,16,1,14,Sedan,ICE,10704,Suburban,,,,,587669,2021-02-04,2
104,38,Female,13,0,8,Sedan,ICE,23924,Urban,,,,,605480,2022-09-01,8
105,36,Male,15,0,2,Sedan,EV,22442,Rural,,,,,937790,2015-10-13,9
106,48,Male,23,0,9,SUV,ICE,15258,Suburban,,,,,382250,2022-01-24,5
107,46,Male,27,1,12,Sports Car,ICE,12689,Rural,,,,,927160,2019-05-01,5
108,26,Male,1,0,4,Sedan,EV,21137,Suburban,,,,,717578,2020-03-28,12
109,42,Female,26,0,0,SUV,ICE,23886,Suburban,,,,,226513,2018-06-29,6
110,52,Male,28,0,1,SUV,ICE,22345,Urban,,,,,89349,2021-08-08,6
111,49,Female,32,0,1,SUV,EV,13514,Rural,,,,,795732,2018-03-23,2
112,33,Female,16,0,12,SUV,ICE,8484,Suburban,,,,,374125,2015-06-26,3
113,53,Male,29,0,8,Sedan,ICE,19892,Urban,,,,,925207,2022-05-15,10
114,36,Female,20,0,11,Sports Car,EV,6914,Urban,,,,,112837,2015-10-21,7
115,58,Female,42,0,12,Sedan,EV,14228,Urban,,,,,431932,2020-09-10,2
116,68,Female,44,0,12,SUV,ICE,18209,Urban,,,,,520137,2018-02-03,11
117,35,Male,12,0,5,SUV,EV,6432,Urban,,,,,497058,2017-03-30,6
118,56,Male,35,1,7,SUV,EV,18515,Urban,,,,,148705,2021-09-05,12
119,43,Female,19,0,0,Sedan,ICE,15418,Suburban,,,,,481914,2015-03-06,3
120,58,Female,35,0,4,Sports Car,ICE,14785,Rural,,,,,523303,2016-12-13,1
121,53,Female,33,0,0,Sedan,EV,24574,Urban,,,,,30679,2022-10-27,3
122,51,Female,32,1,13,SUV,ICE,8887,Suburban,,,,,343450,2017-09-08,11
123,21,Female,1,0,3,Sports Car,ICE,12442,Suburban,,,,,224861,2015-06-06,1
124,57,Male,33,2,4,Sports Car,EV,16014,Rural,,,,,260784,2022-07-04,9
125,52,Female,31,0,3,SUV,ICE,9966,Suburban,,,,,744783,2015-09-12,3
126,58,Female,37,0,14,Sports Car,ICE,6096,Rural,,,,,877985,2018-05-28,1
127,70,Male,54,0,4,Sedan,ICE,14276,Suburban,,,,,783994,2021-08-09,5
128,55,Female,36,1,4,Sedan,EV,22729,Suburban,,,,,713817,2021-10-31,10
129,67,Male,49,0,1,SUV,EV,12382,Rural,,,,,576194,2016-01-07,11
130,65,Male,42,0,2,SUV,ICE,23175,Rural,,,,,561144,2019-10-28,11
131,29,Male,8,0,1,SUV,EV,13971,Rural,,,,,524065,2019-08-19,11
132,35,Female,14,0,7,Sedan,ICE,10735,Suburban,,,,,841987,2015-11-12,9
133,20,Female,1,0,14,Sedan,EV,9260,Suburban,,,,,97938,2017-08-22,1
134,38,Male,16,0,9,Sedan,ICE,9810,Suburban,,,,,670713,2017-07-01,2
135,21,Male,1,0,9,SUV,ICE,7839,Suburban,,,,,664126,2020-05-15,6
136,42,Female,17,0,10,Sports Car,ICE,7874,Rural,,,,,590866,2017-12-08,10
137,36,Male,19,0,6,SUV,ICE,7731,Urban,,,,,881262,2022-12-27,10
138,69,Male,45,0,8,Sedan,EV,7250,Urban,,,,,775851,2020-04-27,6
139,56,Male,31,0,13,SUV,EV,17788,Suburban,,,,,375961,2023-01-09,8
140,20,Male,2,0,8,Sedan,EV,5385,Rural,,,,,900613,2019-03-17,3
141,21,Female,2,0,10,SUV,ICE,16584,Urban,,,,,98494,2015-08-05,1
142,69,Female,52,0,2,SUV,EV,23880,Urban,,,,,824500,2021-05-02,11
143,45,Female,25,0,13,SUV,EV,12665,Urban,,,,,205475,2022-09-05,4
144,37,Female,21,1,1,Sports Car,ICE,17541,Suburban,,,,,750157,2015-09-06,6
145,27,Male,6,0,11,Sports Car,ICE,22224,Suburban,,,,,104684,2017-10-13,6
146,59,Female,39,0,1,SUV,ICE,18342,Suburban,,,,,89431,2015-07-17,12
147,59,Male,35,0,3,SUV,EV,13436,Urban,,,,,196131,2021-12-20,4
148,70,Female,53,0,2,SUV,ICE,21623,Rural,,,,,850069,2018-10-15,6
149,26,Male,6,0,2,Sedan,ICE,19008,Rural,,,,,607847,2021-10-22,2
150,27,Female,3,0,15,Sports Car,EV,13773,Urban,,,,,419980,2016-05-14,12
151,50,Male,25,0,8,Sedan,EV,7986,Urban,,,,,176683,2015-10-20,1
152,56,Male,36,0,8,SUV,EV,18557,Urban,,,,,380631,2020-07-29,10
153,56,Female,32,1,10,SUV,EV,16489,Suburban,,,,,438398,2020-11-11,7
154,20,Male,1,0,0,Sedan,ICE,5864,Suburban,,,,,997080,2017-07-21,7
155,46,Male,27,0,10,Sports Car,ICE,14872,Urban,,,,,500716,2022-08-18,1
156,53,Male,28,0,6,Sedan,ICE,8331,Rural,,,,,969571,2021-04-23,1
157,57,Male,41,0,4,Sports Car,EV,11822,Rural,,,,,224069,2017-06-26,9
158,70,Female,49,1,6,Sedan,EV,18049,Rural,,,,,298798,2022-11-11,9
159,46,Male,22,0,1,Sedan,ICE,11027,Rural,,,,,152926,2019-03-17,1
160,48,Female,30,0,9,Sedan,ICE,21394,Rural,,,,,644371,2023-04-16,10
161,40,Male,15,1,7,Sports Car,EV,19817,Suburban,,,,,185329,2021-10-09,1
162,27,Female,7,0,5,Sedan,EV,11764,Urban,,,,,37033,2023-07-12,9
163,60,Male,36,0,1,SUV,EV,14388,Suburban,,,,,975340,2021-05-07,12
164,42,Male,24,0,9,Sports Car,ICE,23637,Urban,,,,,644142,2019-01-03,8
165,42,Female,24,0,11,SUV,EV,5996,Rural,,,,,332488,2023-09-14,4
166,54,Female,37,0,11,Sedan,EV,11050,Suburban,,,,,295318,2018-03-27,5
167,67,Male,45,0,11,SUV,EV,23612,Suburban,,,,,582648,2019-11-06,2
168,46,Male,30,0,1,Sedan,ICE,21032,Suburban,,,,,988611,2022-02-20,6
169,45,Male,28,0,5,Sedan,ICE,18514,Urban,,,,,61579,2020-11-20,7
170,22,Female,1,0,3,Sedan,EV,16892,Suburban,,,,,590620,2020-01-26,2
171,23,Female,4,0,5,Sedan,EV,13478,Rural,,,,,62951,2017-08-01,11
172,38,Male,20,0,12,Sedan,ICE,6599,Rural,,,,,120302,2022-11-01,12
173,44,Female,27,0,15,SUV,EV,13654,Rural,,,,,378516,2023-07-12,4
174,49,Female,24,3,11,Sports Car,EV,14289,Rural,,,,,962324,2023-07-15,2
175,31,Male,14,0,10,Sedan,ICE,5210,Suburban,,,,,976341,2018-11-20,6
176,33,Male,13,1,6,Sedan,ICE,22117,Rural,,,,,93601,2016-12-11,2
177,70,Female,51,0,4,Sports Car,EV,23383,Urban,,,,,408059,2019-03-09,8
178,47,Male,26,0,11,Sedan,EV,13772,Rural,,,,,601725,2021-09-06,4
179,57,Female,34,0,11,Sedan,EV,22204,Suburban,,,,,564482,2020-07-08,12
180,36,Male,16,1,6,SUV,EV,18382,Rural,,,,,346003,2022-11-07,12
181,57,Male,39,0,6,Sports Car,EV,22306,Rural,,,,,515958,2018-03-16,12
182,51,Male,35,0,5,SUV,ICE,19444,Urban,,,,,215244,2015-08-11,8
183,44,Female,24,1,5,SUV,EV,12017,Urban,,,,,677296,2017-03-12,9
184,47,Male,26,1,10,Sports Car,ICE,16893,Urban,,,,,173644,2016-11-15,10
185,59,Female,36,0,12,Sports Car,EV,12753,Suburban,,,,,286575,2021-11-08,10
186,55,Female,38,1,4,Sports Car,EV,21550,Urban,,,,,905735,2015-04-29,2
187,50,Male,27,0,8,SUV,EV,15825,Rural,,,,,89681,2019-12-27,5
188,21,Female,1,1,14,Sports Car,EV,6288,Urban,,,,,768796,2022-10-10,9
189,68,Female,52,0,11,Sedan,ICE,12967,Urban,,,,,681344,2017-10-22,3
190,62,Male,44,0,12,Sedan,ICE,15234,Urban,,,,,245698,2021-10-06,7
191,36,Female,13,0,0,SUV,ICE,6800,Suburban,,,,,486622,2019-04-25,10
192,31,Male,10,0,1,Sports Car,ICE,12467,Rural,,,,,53164,2022-07-05,11
193,52,Female,36,0,3,SUV,ICE,20154,Suburban,,,,,70808,2019-07-24,2
194,24,Male,2,0,4,SUV,ICE,7981,Suburban,,,,,332140,2016-09-22,10
195,45,Male,28,1,8,Sedan,ICE,11396,Urban,,,,,734556,2023-01-08,12
196,59,Male,37,0,2,Sedan,EV,7565,Rural,,,,,720362,2022-10-21,4
197,68,Female,50,0,9,Sports Car,EV,18027,Suburban,,,,,751737,2018-02-19,10
198,35,Male,12,0,5,Sedan,ICE,16688,Urban,,,,,74539,2017-07-24,10
199,35,Male,16,0,0,Sedan,EV,11947,Suburban,,,,,318505,2015-08-15,6
200,18,Female,1,0,5,Sports Car,ICE,14715,Urban,,,,,830695,2017-01-27,1
201,22,Female,2,2,15,Sedan,ICE,15167,Rural,,,,,851403,2018-11-26,11
202,39,Female,14,2,3,Sedan,ICE,12752,Urban,,,,,967660,2018-07-15,1
203,44,Male,20,0,5,Sports Car,EV,21699,Urban,,,,,370557,2020-07-21,3
204,37,Male,20,1,0,SUV,EV,13688,Suburban,,,,,533962,2023-05-02,11
205,34,Male,14,0,15,Sedan,ICE,21829,Urban,,,,,844875,2017-03-25,10
206,45,Female,27,0,1,Sedan,EV,13099,Rural,,,,,337739,2021-10-17,9
207,68,Male,43,0,5,Sports Car,EV,10143,Suburban,,,,,355956,2018-04-06,7
208,65,Female,45,0,7,Sports Car,EV,20005,Rural,,,,,293336,2021-07-22,5
209,59,Male,43,0,10,Sedan,ICE,20278,Suburban,,,,,832786,2018-01-18,5
210,44,Female,25,0,7,Sedan,EV,5014,Rural,,,,,341800,2018-11-27,7
211,33,Male,9,0,1,Sports Car,EV,20984,Urban,,,,,307983,2021-08-09,7
212,33,Female,9,1,8,Sedan,EV,23037,Urban,,,,,860090,2017-01-09,1
213,28,Female,12,0,0,SUV,EV,7948,Urban,,,,,378503,2022-08-03,8
214,51,Male,28,1,8,SUV,ICE,23409,Urban,,,,,803030,2019-03-27,3
215,23,Female,2,0,14,Sports Car,ICE,20923,Urban,,,,,986657,2015-10-16,11
216,22,Female,1,2,8,SUV,ICE,17299,Rural,,,,,980260,2020-11-11,11
217,59,Male,39,0,14,Sedan,ICE,9559,Urban,,,,,980912,2016-10-18,2
218,62,Male,39,0,14,Sedan,EV,14985,Suburban,,,,,511089,2017-07-04,1
219,32,Female,11,0,2,SUV,ICE,11616,Rural,,,,,256020,2020-08-11,3
220,29,Male,9,0,4,Sedan,EV,16443,Rural,,,,,515364,2016-01-28,8
221,59,Female,40,1,10,SUV,ICE,21331,Rural,,,,,429176,2021-11-25,1
222,67,Male,50,3,3,SUV,ICE,6188,Rural,,,,,623596,2018-08-03,11
223,29,Female,7,0,2,Sedan,ICE,18493,Suburban,,,,,901154,2019-06-06,5
224,65,Male,40,1,8,Sedan,EV,20258,Urban,,,,,676167,2016-07-27,7
225,39,Male,16,1,14,Sedan,EV,24137,Urban,,,,,16687,2015-05-09,9
226,66,Male,41,0,12,Sports Car,EV,23878,Suburban,,,,,363988,2015-10-20,11
227,67,Female,49,0,5,Sedan,EV,8187,Suburban,,,,,395743,2019-11-15,9
228,40,Female,21,0,2,Sedan,ICE,19109,Suburban,,,,,934567,2020-03-21,7
229,57,Female,33,0,4,Sedan,ICE,13887,Suburban,,,,,369603,2020-06-17,9
230,66,Male,48,0,0,Sedan,EV,19702,Suburban,,,,,86886,2021-10-20,8
231,69,Female,51,0,2,Sports Car,EV,18930,Urban,,,,,395601,2021-11-03,8
232,39,Male,22,0,8,Sedan,ICE,13006,Suburban,,,,,416173,2019-03-11,7
233,24,Male,1,0,6,Sports Car,ICE,8444,Rural,,,,,794816,2016-11-07,9
234,60,Male,44,0,7,Sedan,EV,6102,Suburban,,,,,882398,2016-08-19,6
235,69,Female,51,3,1,Sedan,EV,14874,Rural,,,,,130927,2021-07-08,6
236,37,Male,13,0,2,SUV,ICE,22714,Suburban,,,,,360244,2022-10-08,9
237,33,Female,12,0,12,Sports Car,EV,10304,Urban,,,,,609952,2023-02-17,3
238,33,Male,14,0,13,Sedan,ICE,19353,Rural,,,,,96226,2015-04-30,7
239,43,Female,27,0,12,Sedan,EV,19977,Suburban,,,,,427554,2015-04-16,7
240,37,Male,19,3,9,Sports Car,EV,12511,Suburban,,,,,933321,2016-12-31,3
241,57,Male,34,0,6,SUV,EV,12303,Urban,,,,,833044,2017-11-11,6
242,37,Male,13,0,1,SUV,ICE,9669,Rural,,,,,841053,2019-07-28,7
243,60,Female,40,1,9,Sedan,EV,14172,Suburban,,,,,961654,2016-08-08,2
244,21,Male,1,2,9,Sports Car,EV,15199,Urban,,,,,564522,2018-06-26,6
245,49,Female,28,0,11,Sedan,ICE,11053,Suburban,,,,,182725,2018-12-26,10
246,70,Male,47,0,5,Sedan,EV,9373,Urban,,,,,205181,2019-08-18,1
247,18,Female,1,0,8,Sports Car,ICE,9898,Urban,,,,,971582,2015-03-26,4
248,26,Male,3,0,9,SUV,ICE,14765,Urban,,,,,962652,2015-11-07,8
249,35,Female,17,0,13,SUV,ICE,12874,Urban,,,,,745014,2019-07-28,9
250,37,Male,14,0,7,Sedan,EV,12441,Urban,,,,,535848,2019-04-06,6
251,48,Male,31,0,10,Sedan,ICE,16708,Suburban,,,,,143511,2021-07-03,8
252,59,Male,39,1,10,Sedan,EV,24183,Rural,,,,,693264,2023-08-25,9
253,36,Male,16,1,13,Sports Car,ICE,7908,Suburban,,,,,956319,2016-07-18,12
254,52,Female,32,3,13,Sports Car,EV,17212,Urban,,,,,150277,2018-06-06,3
255,43,Female,25,0,13,Sedan,ICE,7527,Rural,,,,,309536,2021-06-28,2
256,61,Female,45,0,5,Sports Car,ICE,21488,Suburban,,,,,542669,2018-05-02,5
257,67,Male,49,2,12,SUV,ICE,20980,Rural,,,,,70889,2023-11-14,8
258,31,Male,7,0,7,Sedan,ICE,6427,Urban,,,,,133302,2015-01-16,10
259,34,Female,17,0,10,Sedan,EV,24852,Rural,,,,,317242,2023-11-22,3
260,65,Female,49,0,14,SUV,ICE,15603,Urban,,,,,781803,2019-10-23,12
261,42,Female,19,1,7,SUV,ICE,5561,Suburban,,,,,252882,2020-05-28,12
262,61,Male,45,1,2,Sedan,ICE,12311,Rural,,,,,882146,2015-02-13,7
263,60,Male,41,0,3,Sedan,EV,19883,Urban,,,,,954376,2019-02-04,4
264,49,Female,33,0,7,Sedan,ICE,22833,Suburban,,,,,536217,2020-08-25,11
265,70,Female,54,0,6,Sports Car,EV,19101,Rural,,,,,930905,2020-02-07,10
266,50,Male,29,0,2,Sedan,ICE,13991,Suburban,,,,,772790,2022-12-16,3
267,67,Male,43,1,12,SUV,ICE,21024,Rural,,,,,66323,2019-09-07,6
268,25,Female,9,0,3,Sedan,ICE,16880,Suburban,,,,,738716,2016-11-09,8
269,65,Female,48,0,10,SUV,ICE,6676,Urban,,,,,410257,2020-07-09,4
270,24,Female,4,0,3,SUV,EV,7601,Urban,,,,,921387,2020-12-24,4
271,70,Female,50,1,6,Sedan,EV,10224,Urban,,,,,612069,2016-12-09,2
272,53,Female,37,0,9,Sports Car,EV,9500,Suburban,,,,,226492,2016-06-29,7
273,25,Female,9,0,3,SUV,EV,7399,Suburban,,,,,683761,2021-04-23,3
274,32,Male,9,0,4,SUV,EV,11736,Rural,,,,,758896,2020-12-22,11
275,18,Female,1,0,13,Sports Car,EV,12177,Suburban,,,,,288239,2021-12-27,6
276,47,Female,25,0,2,Sedan,EV,5411,Urban,,,,,292385,2016-03-25,9
277,59,Male,40,0,2,Sports Car,ICE,7748,Rural,,,,,938758,2020-08-22,6
278,21,Female,1,0,3,SUV,EV,6905,Rural,,,,,377211,2022-02-10,2
279,62,Female,39,0,4,Sedan,ICE,19938,Rural,,,,,28029,2015-09-24,10
280,56,Male,36,0,1,Sedan,ICE,8100,Rural,,,,,604278,2017-11-23,5
281,34,Female,9,0,13,Sports Car,EV,13314,Rural,,,,,328496,2020-11-14,7
282,46,Male,22,0,8,Sports Car,EV,6526,Suburban,,,,,370755,2019-10-27,11
283,57,Female,32,1,10,Sedan,ICE,19055,Rural,,,,,312600,2016-04-26,2
284,18,Male,1,0,8,SUV,EV,7518,Urban,,,,,97963,2021-12-31,1
285,30,Female,5,2,10,Sports Car,ICE,17500,Suburban,,,,,189681,2021-05-01,9
286,43,Female,27,0,12,Sports Car,EV,17213,Rural,,,,,325458,2018-01-01,3
287,40,Female,20,0,13,SUV,EV,7492,Suburban,,,,,301865,2020-10-18,3
288,27,Male,8,2,4,Sedan,EV,20449,Rural,,,,,546261,2018-04-30,9
289,49,Female,31,0,9,Sedan,EV,12488,Urban,,,,,905571,2016-03-20,10
290,52,Female,34,0,8,Sports Car,EV,17856,Urban,,,,,478296,2017-01-29,6
291,58,Male,36,0,13,Sedan,ICE,12296,Suburban,,,,,14631,2015-01-30,9
292,52,Male,28,2,1,Sedan,ICE,17418,Suburban,,,,,585949,2018-10-13,10
293,24,Male,1,0,6,SUV,ICE,6944,Suburban,,,,,189628,2022-03-01,11
294,32,Female,8,0,2,SUV,EV,23595,Suburban,,,,,756293,2018-05-17,10
295,19,Male,1,1,13,SUV,EV,9903,Suburban,,,,,347196,2020-01-03,7
296,27,Female,7,1,1,Sports Car,ICE,19474,Rural,,,,,859349,2021-11-09,6
297,20,Male,1,0,6,Sedan,ICE,10243,Suburban,,,,,856929,2023-07-06,1
298,19,Male,1,0,3,SUV,ICE,9961,Urban,,,,,546994,2023-01-31,10
299,21,Female,3,0,6,Sports Car,EV,12758,Suburban,,,,,366193,2019-05-04,9
300,20,Male,1,1,13,Sports Car,EV,12865,Rural,,,,,122873,2016-12-28,5
301,66,Male,42,0,1,Sedan,ICE,10454,Suburban,,,,,733180,2022-03-13,12
302,39,Male,19,0,4,Sedan,ICE,11067,Suburban,,,,,47336,2021-01-30,8
303,22,Male,1,1,14,Sports Car,ICE,16572,Rural,,,,,949720,2022-06-11,1
304,48,Female,30,0,7,Sedan,EV,21317,Rural,,,,,400704,2022-04-07,12
305,38,Male,15,0,11,SUV,EV,17808,Rural,,,,,71671,2017-05-09,10
306,18,Female,1,1,11,SUV,ICE,17638,Rural,,,,,345524,2018-10-09,2
307,38,Female,21,0,11,SUV,EV,24698,Rural,,,,,813847,2019-01-05,4
